ax,ay,az,gx,gy,gz,quality
-0.775146484,-0.150268555,0.39453125,3.784179688,1.220703125,-16.78466797,0
-0.775146484,-0.150268555,0.39453125,14.77050781,1.220703125,-16.78466797,0
-0.775146484,-0.150268555,0.39453125,14.77050781,-5.554199219,-16.78466797,0
-0.775146484,-0.150268555,0.39453125,14.77050781,-5.554199219,6.103515625,0
-1.282714844,-0.150268555,0.39453125,14.77050781,-5.554199219,6.103515625,0
-1.282714844,-0.085449219,0.39453125,14.77050781,-5.554199219,6.103515625,0
-1.282714844,-0.085449219,0.39453125,14.77050781,-5.554199219,6.103515625,0
-1.282714844,-0.085449219,0.470214844,14.77050781,-5.554199219,6.103515625,0
-1.282714844,-0.085449219,0.470214844,-5.554199219,-5.554199219,6.103515625,0
-1.282714844,-0.085449219,0.470214844,-5.554199219,-0.183105469,6.103515625,0
-1.282714844,-0.085449219,0.470214844,-5.554199219,-0.183105469,14.58740234,0
-0.757568359,-0.085449219,0.470214844,-5.554199219,-0.183105469,14.58740234,0
-0.757568359,-0.051391602,0.470214844,-5.554199219,-0.183105469,14.58740234,0
-0.757568359,-0.051391602,0.528198242,-5.554199219,-0.183105469,14.58740234,0
-0.757568359,-0.051391602,0.528198242,4.943847656,-0.183105469,14.58740234,0
-0.757568359,-0.051391602,0.528198242,4.943847656,-0.183105469,14.58740234,0
-0.757568359,-0.051391602,0.528198242,4.943847656,20.14160156,14.58740234,0
-0.757568359,-0.051391602,0.528198242,4.943847656,20.14160156,7.446289063,0
-0.979736328,-0.051391602,0.528198242,4.943847656,20.14160156,7.446289063,0
-0.979736328,-0.169433594,0.528198242,4.943847656,20.14160156,7.446289063,0
-0.979736328,-0.169433594,0.357421875,4.943847656,20.14160156,7.446289063,0
-0.979736328,-0.169433594,0.357421875,7.995605469,20.14160156,7.446289063,0
-0.979736328,-0.169433594,0.357421875,7.995605469,2.380371094,7.446289063,0
-0.979736328,-0.169433594,0.357421875,7.995605469,2.380371094,-8.422851563,0
-0.979736328,-0.169433594,0.357421875,7.995605469,2.380371094,-8.422851563,0
-1.053955078,-0.169433594,0.357421875,7.995605469,2.380371094,-8.422851563,0
-1.053955078,-0.168701172,0.357421875,7.995605469,2.380371094,-8.422851563,0
-1.053955078,-0.168701172,0.409301758,7.995605469,2.380371094,-8.422851563,0
-1.053955078,-0.168701172,0.409301758,-9.155273438,2.380371094,-8.422851563,0
-1.053955078,-0.168701172,0.409301758,-9.155273438,3.601074219,-8.422851563,0
-1.053955078,-0.168701172,0.409301758,-9.155273438,3.601074219,17.45605469,0
-0.887939453,-0.168701172,0.409301758,-9.155273438,3.601074219,17.45605469,0
-0.887939453,-0.116210938,0.409301758,-9.155273438,3.601074219,17.45605469,0
-0.887939453,-0.116210938,0.409301758,-9.155273438,3.601074219,17.45605469,0
-0.887939453,-0.116210938,0.505371094,-9.155273438,3.601074219,17.45605469,0
-0.887939453,-0.116210938,0.505371094,9.033203125,3.601074219,17.45605469,0
-0.887939453,-0.116210938,0.505371094,9.033203125,9.765625,17.45605469,0
-0.887939453,-0.116210938,0.505371094,9.033203125,9.765625,15.50292969,0
-0.887939453,-0.116210938,0.505371094,9.033203125,9.765625,15.50292969,0
-0.901123047,-0.116210938,0.505371094,9.033203125,9.765625,15.50292969,0
-0.901123047,-0.151977539,0.505371094,9.033203125,9.765625,15.50292969,0
