time,ax,ay,az,gx,gy,gz,quality
0.1,-0.976806641,-0.16418457,-0.086547852,7.385253906,1.647949219,0.305175781,0
0.2,-0.976806641,-0.16418457,-0.086547852,0.793457031,1.647949219,0.305175781,0
0.3,-0.976806641,-0.16418457,-0.086547852,0.793457031,-10.07080078,0.305175781,0
0.4,-0.976806641,-0.16418457,-0.086547852,0.793457031,-10.07080078,-38.0859375,0
0.5,-0.976806641,-0.16418457,-0.086547852,0.793457031,-10.07080078,-38.0859375,0
0.7,-1.135498047,-0.16418457,-0.086547852,0.793457031,-10.07080078,-38.0859375,0
0.7,-1.135498047,-0.460571289,-0.086547852,0.793457031,-10.07080078,-38.0859375,0
0.8,-1.135498047,-0.460571289,0.552001953,0.793457031,-10.07080078,-38.0859375,0
1,-1.135498047,-0.460571289,0.552001953,44.31152344,-10.07080078,-38.0859375,0
1.1,-1.135498047,-0.460571289,0.552001953,44.31152344,-75.62255859,-38.0859375,0
1.2,-1.135498047,-0.460571289,0.552001953,44.31152344,-75.62255859,-13.91601563,0
1.3,-0.084472656,-0.460571289,0.552001953,44.31152344,-75.62255859,-13.91601563,0
1.4,-0.084472656,-0.460571289,0.552001953,44.31152344,-75.62255859,-13.91601563,0
1.5,-0.084472656,-0.292724609,0.552001953,44.31152344,-75.62255859,-13.91601563,0
1.6,-0.084472656,-0.292724609,0.937011719,44.31152344,-75.62255859,-13.91601563,0
1.7,-0.084472656,-0.292724609,0.937011719,29.35791016,-75.62255859,-13.91601563,0
1.8,-0.084472656,-0.292724609,0.937011719,29.35791016,-64.69726563,-13.91601563,0
1.9,-0.084472656,-0.292724609,0.937011719,29.35791016,-64.69726563,-8.972167969,0
2,0.532714844,-0.292724609,0.937011719,29.35791016,-64.69726563,-8.972167969,0
2.1,0.532714844,0.031005859,0.937011719,29.35791016,-64.69726563,-8.972167969,0
2.2,0.532714844,0.031005859,0.937011719,29.35791016,-64.69726563,-8.972167969,0
2.3,0.532714844,0.031005859,0.828125,29.35791016,-64.69726563,-8.972167969,0
2.4,0.532714844,0.031005859,0.828125,-16.54052734,-64.69726563,-8.972167969,0
2.6,0.532714844,0.031005859,0.828125,-16.54052734,70.49560547,-8.972167969,0
2.7,0.532714844,0.031005859,0.828125,-16.54052734,70.49560547,5.737304688,0
2.8,0.532714844,0.031005859,0.828125,-16.54052734,70.49560547,5.737304688,0
2.9,-0.368652344,0.031005859,0.828125,-16.54052734,70.49560547,5.737304688,0
3,-0.368652344,-0.382324219,0.828125,-16.54052734,70.49560547,5.737304688,0
3.1,-0.368652344,-0.382324219,0.763671875,-16.54052734,70.49560547,5.737304688,0
3.2,-0.368652344,-0.382324219,0.763671875,-16.54052734,70.49560547,5.737304688,0
