ax,ay,az,gx,gy,gz,quality
-0.362915039,0.867797852,-0.185058594,-7.141113281,-0.9765625,-2.258300781,0
-0.260986328,0.867797852,-0.185058594,-7.141113281,-0.9765625,-2.258300781,0
-0.260986328,0.867797852,-0.185058594,-7.141113281,-0.9765625,-2.258300781,0
-0.260986328,0.952514648,-0.185058594,-7.141113281,-0.9765625,-2.258300781,0
-0.260986328,0.952514648,-0.807495117,-7.141113281,-0.9765625,-2.258300781,0
-0.260986328,0.952514648,-0.807495117,-104.7973633,-0.9765625,-2.258300781,0
-0.260986328,0.952514648,-0.807495117,-104.7973633,-45.59326172,-2.258300781,0
-0.260986328,0.952514648,-0.807495117,-104.7973633,-45.59326172,83.61816406,0
0.372558594,0.952514648,-0.807495117,-104.7973633,-45.59326172,83.61816406,0
0.372558594,0.952514648,-0.807495117,-104.7973633,-45.59326172,83.61816406,0
0.372558594,0.544067383,-0.807495117,-104.7973633,-45.59326172,83.61816406,0
0.372558594,0.544067383,0.735107422,-104.7973633,-45.59326172,83.61816406,0
0.372558594,0.544067383,0.735107422,41.015625,-45.59326172,83.61816406,0
0.372558594,0.544067383,0.735107422,41.015625,32.95898438,83.61816406,0
0.372558594,0.544067383,0.735107422,41.015625,32.95898438,-44.98291016,0
-0.000488281,0.544067383,0.735107422,41.015625,32.95898438,-44.98291016,0
-0.000488281,0.987060547,0.735107422,41.015625,32.95898438,-44.98291016,0
-0.000488281,0.987060547,0.735107422,41.015625,32.95898438,-44.98291016,0
-0.000488281,0.987060547,-0.0625,41.015625,32.95898438,-44.98291016,0
-0.000488281,0.987060547,-0.0625,42.96875,32.95898438,-44.98291016,0
-0.000488281,0.987060547,-0.0625,42.96875,17.76123047,-44.98291016,0
-0.000488281,0.987060547,-0.0625,42.96875,17.76123047,-44.98291016,0
-0.000488281,0.987060547,-0.0625,42.96875,17.76123047,-28.3203125,0
-0.51550293,0.987060547,-0.0625,42.96875,17.76123047,-28.3203125,0
-0.51550293,0.664794922,-0.0625,42.96875,17.76123047,-28.3203125,0
-0.51550293,0.664794922,-0.626220703,42.96875,17.76123047,-28.3203125,0
-0.51550293,0.664794922,-0.626220703,-101.6235352,17.76123047,-28.3203125,0
-0.51550293,0.664794922,-0.626220703,-101.6235352,-56.27441406,-28.3203125,0
-0.51550293,0.664794922,-0.626220703,-101.6235352,-56.27441406,71.16699219,0
0.043457031,0.664794922,-0.626220703,-101.6235352,-56.27441406,71.16699219,0
0.043457031,0.664794922,-0.626220703,-101.6235352,-56.27441406,71.16699219,0
0.043457031,0.566040039,-0.626220703,-101.6235352,-56.27441406,71.16699219,0
