ax,ay,az,gx,gy,gz,quality
-0.540283203,0.261108398,0.885009766,-3.967285156,-4.638671875,-1.159667969,0
-0.540283203,0.261108398,0.885009766,-3.967285156,-4.638671875,-1.159667969,0
-0.540283203,0.261108398,0.885009766,-3.967285156,-4.638671875,-0.671386719,0
-0.577148438,0.261108398,0.885009766,-3.967285156,-4.638671875,-0.671386719,0
-0.577148438,0.230224609,0.885009766,-3.967285156,-4.638671875,-0.671386719,0
-0.577148438,0.230224609,1.211181641,-3.967285156,-4.638671875,-0.671386719,0
-0.577148438,0.230224609,1.211181641,-3.967285156,-4.638671875,-0.671386719,0
-0.577148438,0.230224609,1.211181641,7.8125,-4.638671875,-0.671386719,0
-0.577148438,0.230224609,1.211181641,7.8125,-17.578125,-0.671386719,0
-0.577148438,0.230224609,1.211181641,7.8125,-17.578125,2.319335938,0
-0.577148438,0.230224609,1.211181641,7.8125,-17.578125,2.319335938,0
-0.103027344,0.230224609,1.211181641,7.8125,-17.578125,2.319335938,0
-0.103027344,0.053222656,1.211181641,7.8125,-17.578125,2.319335938,0
-0.103027344,0.053222656,0.991577148,7.8125,-17.578125,2.319335938,0
-0.103027344,0.053222656,0.991577148,5.004882813,-17.578125,2.319335938,0
-0.103027344,0.053222656,0.991577148,5.004882813,-17.578125,2.319335938,0
-0.103027344,0.053222656,0.991577148,5.004882813,35.88867188,2.319335938,0
-0.103027344,0.053222656,0.991577148,5.004882813,35.88867188,-0.549316406,0
-0.516601563,0.053222656,0.991577148,5.004882813,35.88867188,-0.549316406,0
-0.516601563,0.084716797,0.991577148,5.004882813,35.88867188,-0.549316406,0
-0.516601563,0.084716797,0.951049805,5.004882813,35.88867188,-0.549316406,0
-0.516601563,0.084716797,0.951049805,3.356933594,35.88867188,-0.549316406,0
-0.516601563,0.084716797,0.951049805,3.356933594,-6.34765625,-0.549316406,0
-0.516601563,0.084716797,0.951049805,3.356933594,-6.34765625,0.671386719,0
-0.406982422,0.084716797,0.951049805,3.356933594,-6.34765625,0.671386719,0
-0.406982422,0.024658203,0.951049805,3.356933594,-6.34765625,0.671386719,0
-0.406982422,0.024658203,0.951049805,3.356933594,-6.34765625,0.671386719,0
-0.406982422,0.024658203,0.945800781,3.356933594,-6.34765625,0.671386719,0
-0.406982422,0.024658203,0.945800781,3.234863281,-6.34765625,0.671386719,0
